Date,Time,Symbol,Previous_Close,Open,High,Low,Close,Volume
2023-09-01,00:00:00,AAPL,189.4600,189.4850,189.9200,188.2800,189.4600,45766503
2023-08-31,00:00:00,AAPL,189.4600,187.8400,189.1200,187.4800,187.8700,60794467
2023-08-30,00:00:00,AAPL,187.8700,184.9400,187.8500,184.7400,187.6500,60813888
2023-08-29,00:00:00,AAPL,187.6500,179.6950,184.9000,179.5000,184.1200,53003948
2023-08-28,00:00:00,AAPL,184.1200,180.0900,180.5900,178.5450,180.1900,43820697
2023-08-25,00:00:00,AAPL,180.1900,177.3800,179.1500,175.8200,178.6100,51449594
2023-08-24,00:00:00,AAPL,178.6100,180.6740,181.1040,176.0100,176.3800,54945798
2023-08-23,00:00:00,AAPL,176.3800,178.5200,181.5500,178.3250,181.1200,52722752
2023-08-22,00:00:00,AAPL,181.1200,177.0600,177.6800,176.2500,177.2300,42084245
2023-08-21,00:00:00,AAPL,177.2300,175.0700,176.1300,173.7350,175.8400,46311879
2023-08-18,00:00:00,AAPL,175.8400,172.3000,175.1000,171.9600,174.4900,61172150
2023-08-17,00:00:00,AAPL,174.4900,177.1400,177.5054,173.4800,174.0000,66062882
2023-08-16,00:00:00,AAPL,174.0000,177.1300,178.5400,176.5000,176.5700,46964857
2023-08-15,00:00:00,AAPL,176.5700,178.8800,179.4800,177.0500,177.4500,43622593
2023-08-14,00:00:00,AAPL,177.4500,177.9700,179.6900,177.3050,179.4600,43675627
2023-08-11,00:00:00,AAPL,179.4600,177.3200,178.6200,176.5500,177.7900,52036672
2023-08-10,00:00:00,AAPL,177.7900,179.4800,180.7500,177.6000,177.9700,54686851
2023-08-09,00:00:00,AAPL,177.9700,180.8700,180.9300,177.0100,178.1900,60378492
2023-08-08,00:00:00,AAPL,178.1900,179.6900,180.2700,177.5800,179.8000,67823003
2023-08-07,00:00:00,AAPL,179.8000,182.1300,183.1300,177.3500,178.8500,97576069
2023-08-04,00:00:00,AAPL,178.8500,185.5200,187.3800,181.9200,181.9900,115956841
2023-08-03,00:00:00,AAPL,181.9900,191.5700,192.3700,190.6900,191.1700,62243282
2023-08-02,00:00:00,AAPL,191.1700,195.0400,195.1800,191.8507,192.5800,50389327
2023-08-01,00:00:00,AAPL,192.5800,196.2350,196.7300,195.2800,195.6050,35281426
2023-07-31,00:00:00,AAPL,195.6050,196.0600,196.4900,195.2600,196.4500,38824113
2023-07-28,00:00:00,AAPL,196.4500,194.6700,196.6260,194.1400,195.8300,48291443
2023-07-27,00:00:00,AAPL,195.8300,196.0200,197.2000,192.5500,193.2200,47460180
2023-07-26,00:00:00,AAPL,193.2200,193.6700,195.6400,193.3200,194.5000,47471868
2023-07-25,00:00:00,AAPL,194.5000,193.3300,194.4400,192.9150,193.6200,37283201
2023-07-24,00:00:00,AAPL,193.6200,193.4100,194.9100,192.2500,192.7500,45505097
2023-07-21,00:00:00,AAPL,192.7500,194.1000,194.9700,191.2300,191.9400,71951683
2023-07-20,00:00:00,AAPL,191.9400,195.0900,196.4700,192.4950,193.1300,59581196
2023-07-19,00:00:00,AAPL,193.1300,193.1000,198.2300,192.6500,195.1000,80507323
2023-07-18,00:00:00,AAPL,195.1000,193.3500,194.3300,192.4150,193.7300,48353774
2023-07-17,00:00:00,AAPL,193.7300,191.9000,194.3200,191.8100,193.9900,50520159
2023-07-14,00:00:00,AAPL,193.9900,190.2300,191.1799,189.6300,190.6900,41616242
2023-07-13,00:00:00,AAPL,190.6900,190.5000,191.1900,189.7800,190.5400,41342338
2023-07-12,00:00:00,AAPL,190.5400,189.6800,191.7000,188.4700,189.7700,60750248
2023-07-11,00:00:00,AAPL,189.7700,189.1600,189.3000,186.6000,188.0800,46638119
2023-07-10,00:00:00,AAPL,188.0800,189.2600,189.9900,187.0350,188.6100,59922163
2023-07-07,00:00:00,AAPL,188.6100,191.4100,192.6700,190.2400,190.6800,46814998
2023-07-06,00:00:00,AAPL,190.6800,189.8400,192.0200,189.2000,191.8100,45156009
2023-07-05,00:00:00,AAPL,191.8100,191.5650,192.9800,190.6200,191.3300,46920261
2023-07-03,00:00:00,AAPL,191.3300,193.7800,193.8800,191.7600,192.4600,31458198
2023-06-30,00:00:00,AAPL,192.4600,191.6300,194.4800,191.2600,193.9700,85213216
2023-06-29,00:00:00,AAPL,193.9700,189.0800,190.0700,188.9400,189.5900,46347308
2023-06-28,00:00:00,AAPL,189.5900,187.9300,189.9000,187.6000,189.2500,51216801
2023-06-27,00:00:00,AAPL,189.2500,185.8900,188.3900,185.6700,188.0600,50730846
2023-06-26,00:00:00,AAPL,188.0600,186.8300,188.0500,185.2300,185.2700,48088661
2023-06-23,00:00:00,AAPL,185.2700,185.5500,187.5600,185.0100,186.6800,53116996
2023-06-22,00:00:00,AAPL,186.6800,183.7400,187.0450,183.6700,187.0000,51245327
2023-06-21,00:00:00,AAPL,187.0000,184.9000,185.4100,182.5901,183.9600,49515697
2023-06-20,00:00:00,AAPL,183.9600,184.4100,186.1000,184.4100,185.0100,49799092
2023-06-16,00:00:00,AAPL,185.0100,186.7300,186.9900,184.2700,184.9200,101256225
2023-06-15,00:00:00,AAPL,184.9200,183.9600,186.5200,183.7800,186.0100,65433166
2023-06-14,00:00:00,AAPL,186.0100,183.3700,184.3900,182.0200,183.9500,57462882
2023-06-13,00:00:00,AAPL,183.9500,182.8000,184.1500,182.4400,183.3100,54929129
2023-06-12,00:00:00,AAPL,183.3100,181.2700,183.8900,180.9700,183.7900,54754995
2023-06-09,00:00:00,AAPL,183.7900,181.5000,182.2300,180.6300,180.9600,48899973
2023-06-08,00:00:00,AAPL,180.9600,177.8950,180.8400,177.4600,180.5700,50214881
2023-06-07,00:00:00,AAPL,180.5700,178.4400,181.2100,177.3200,177.8200,61944615
2023-06-06,00:00:00,AAPL,177.8200,179.9650,180.1200,177.4300,179.2100,64848374
2023-06-05,00:00:00,AAPL,179.2100,182.6300,184.9510,178.0350,179.5800,121946497
2023-06-02,00:00:00,AAPL,179.5800,181.0300,181.7800,179.2600,180.9500,61996913
2023-06-01,00:00:00,AAPL,180.9500,177.7000,180.1200,176.9306,180.0900,68901809
2023-05-31,00:00:00,AAPL,180.0900,177.3250,179.3500,176.7600,177.2500,99313268
2023-05-30,00:00:00,AAPL,177.2500,176.9600,178.9900,176.5700,177.3000,55964401
2023-05-26,00:00:00,AAPL,177.3000,173.3200,175.7700,173.1100,175.4300,54834975
2023-05-25,00:00:00,AAPL,175.4300,172.4100,173.8950,171.6900,172.9900,56058258
2023-05-24,00:00:00,AAPL,172.9900,171.0900,172.4183,170.5200,171.8400,45143488
2023-05-23,00:00:00,AAPL,171.8400,173.1300,173.3794,171.2750,171.5600,50747263
2023-05-22,00:00:00,AAPL,171.5600,173.9800,174.7100,173.4500,174.2000,43570932
2023-05-19,00:00:00,AAPL,174.2000,176.3900,176.3900,174.9400,175.1600,55809475
2023-05-18,00:00:00,AAPL,175.1600,173.0000,175.2400,172.5800,175.0500,65496657
2023-05-17,00:00:00,AAPL,175.0500,171.7100,172.9250,170.4201,172.6900,57951604
2023-05-16,00:00:00,AAPL,172.6900,171.9900,173.1383,171.7991,172.0700,42110293
2023-05-15,00:00:00,AAPL,172.0700,173.1600,173.2100,171.4700,172.0700,37266659
2023-05-12,00:00:00,AAPL,172.0700,173.6200,174.0600,171.0000,172.5700,45533138
2023-05-11,00:00:00,AAPL,172.5700,173.8500,174.5900,172.1700,173.7500,49514676
2023-05-10,00:00:00,AAPL,173.7500,173.0200,174.0300,171.9000,173.5550,53724501
2023-05-09,00:00:00,AAPL,173.5550,173.0500,173.5400,171.6000,171.7700,45326874
2023-05-08,00:00:00,AAPL,171.7700,172.4800,173.8500,172.1100,173.5000,55962793
2023-05-05,00:00:00,AAPL,173.5000,170.9750,174.3000,170.7600,173.5700,113453171
2023-05-04,00:00:00,AAPL,173.5700,164.8900,167.0400,164.3100,165.7900,81235427
2023-05-03,00:00:00,AAPL,165.7900,169.5000,170.9200,167.1600,167.4500,65136018
2023-05-02,00:00:00,AAPL,167.4500,170.0900,170.3500,167.5400,168.5400,48425696
2023-05-01,00:00:00,AAPL,168.5400,169.2800,170.4500,168.6400,169.5900,52472936
2023-04-28,00:00:00,AAPL,169.5900,168.4900,169.8500,167.8801,169.6800,55275851
2023-04-27,00:00:00,AAPL,169.6800,165.1900,168.5600,165.1900,168.4100,64902329
2023-04-26,00:00:00,AAPL,168.4100,163.0550,165.2800,162.8000,163.7600,44105745
2023-04-25,00:00:00,AAPL,163.7600,165.1900,166.3050,163.7300,163.7700,48714063
2023-04-24,00:00:00,AAPL,163.7700,165.0000,165.6000,163.8900,165.3300,41949581
2023-04-21,00:00:00,AAPL,165.3300,165.0500,166.4521,164.4900,165.0200,58337341
2023-04-20,00:00:00,AAPL,165.0200,166.0900,167.8700,165.5600,166.6500,52456377
2023-04-19,00:00:00,AAPL,166.6500,165.8000,168.1600,165.5400,167.6300,47720166
2023-04-18,00:00:00,AAPL,167.6300,166.1000,167.4100,165.6500,166.4700,49923008
2023-04-17,00:00:00,AAPL,166.4700,165.0900,165.3900,164.0300,165.2300,40713618
2023-04-14,00:00:00,AAPL,165.2300,164.5900,166.3200,163.8200,165.2100,49386480
2023-04-13,00:00:00,AAPL,165.2100,161.6300,165.8000,161.4200,165.5600,68445649
2023-04-12,00:00:00,AAPL,165.5600,161.2200,162.0600,159.7800,160.1000,50133062
2023-04-11,00:00:00,AAPL,160.1000,162.3500,162.3600,160.5100,160.8000,47644217
2023-04-10,00:00:00,AAPL,160.8000,161.4200,162.0300,160.0800,162.0300,47716882
2023-04-06,00:00:00,AAPL,162.0300,162.4300,164.9584,162.0000,164.6600,45390123
2023-04-05,00:00:00,AAPL,164.6600,164.7400,165.0500,161.8000,163.7600,51511744
2023-04-04,00:00:00,AAPL,163.7600,166.5950,166.8400,165.1100,165.6300,46278295
2023-04-03,00:00:00,AAPL,165.6300,164.2700,166.2900,164.2200,166.1700,56976187
2023-03-31,00:00:00,AAPL,166.1700,162.4400,165.0000,161.9100,164.9000,68749792
2023-03-30,00:00:00,AAPL,164.9000,161.5300,162.4700,161.2710,162.3600,49501689
2023-03-29,00:00:00,AAPL,162.3600,159.3700,161.0500,159.3500,160.7700,51305691
2023-03-28,00:00:00,AAPL,160.7700,157.9700,158.4900,155.9800,157.6500,45992152
2023-03-27,00:00:00,AAPL,157.6500,159.9400,160.7700,157.8700,158.2800,52390266
2023-03-24,00:00:00,AAPL,158.2800,158.8600,160.3400,157.8500,160.2500,59256343
2023-03-23,00:00:00,AAPL,160.2500,158.8300,161.5501,157.6800,158.9300,67622060
2023-03-22,00:00:00,AAPL,158.9300,159.3000,162.1400,157.8100,157.8300,75701811
2023-03-21,00:00:00,AAPL,157.8300,157.3200,159.4000,156.5400,159.2800,73938285
2023-03-20,00:00:00,AAPL,159.2800,155.0700,157.8200,154.1500,157.4000,73641415
2023-03-17,00:00:00,AAPL,157.4000,156.0800,156.7400,154.2800,155.0000,98944633
2023-03-16,00:00:00,AAPL,155.0000,152.1600,156.4600,151.6400,155.8500,76254419
2023-03-15,00:00:00,AAPL,155.8500,151.1900,153.2450,149.9200,152.9900,77167866
2023-03-14,00:00:00,AAPL,152.9900,151.2800,153.4000,150.1000,152.5900,73695893
2023-03-13,00:00:00,AAPL,152.5900,147.8050,153.1400,147.7000,150.4700,84457122
2023-03-10,00:00:00,AAPL,150.4700,150.2100,150.9400,147.6096,148.5000,68572400
2023-03-09,00:00:00,AAPL,148.5000,153.5590,154.5350,150.2250,150.5900,53833582
